symbol,cik,agency,sp_equiv_rating,band,z_band,altmanZ,marketCap,confidence,accession,filing_date,doc_sha256,url,efts_verify,quote
AA,1675149,Moody's,BB+,WATCH,WATCH,1.612,12856720800,high,0001193125-26-077167,2026-02-26,5b0ccf0f553f87c6eceb74399dbcc769016815982f1750d29f92ab8b8b6a4ca8,https://www.sec.gov/Archives/edgar/data/1675149/000119312526077167/aa-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BB+%22&forms=10-K&ciks=0001675149,"On February 6, 2026, Moody’s Investor Service (Moody’s) affirmed the rating of ANHBV’s long-term debt as Ba1 and affirmed the outlook as stable."
ALSN,1411207,Moody's,BB+,WATCH,SAFE,3.329,9436455918,high,0001193125-26-065627,2026-02-24,c79fbf222ead336ed3662716ebd675428534479d33c076fa19177a5468831d24,https://www.sec.gov/Archives/edgar/data/1411207/000119312526065627/alsn-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BB+%22&forms=10-K&ciks=0001411207,"As of December 31, 2025, our credit ratings from both Moody's and Fitch are shown in the table below: December 31, 2025 Credit Ratings Moody's Fitch Corporate Credit Ba1 BB+ Term Loan due 2031 Baa2 BBB- 4.75% Senior Notes due 2027 Ba2 BB+ 5.875% Senior Notes due 2029 Ba2 BB+ 3.75% Senior Notes due 2031 Ba2 BB+ 5.875% Senior Notes due 2033 Ba2 BB+ We anticipate increased capital expenditures and ca"
ASH,1674862,S&P,BB+,WATCH,WATCH,2.346,2976205505,high,0001193125-25-289248,2025-11-20,5cae47b3fcd24bb37fb4997ab8934778cdb7f588dba1cad1db3e59990a59f7b3,https://www.sec.gov/Archives/edgar/data/1674862/000119312525289248/ash-20250930.htm,https://efts.sec.gov/LATEST/search-index?q=%22BB+%22&forms=10-K&ciks=0001674862,Ashland credit ratings Ashland’s corporate credit ratings remained unchanged at BB+ by Standard & Poor’s and Ba1 by Moody’s Investor Services.
AVA,104918,S&P,BBB,SAFE,DISTRESS,1.024,3400571395,high,0001193125-26-067872,2026-02-25,b8473f36016ff86877fa348d6807f60c9df3edc02701b241b7bdbe22f84e1554,https://www.sec.gov/Archives/edgar/data/104918/000119312526067872/ava-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BBB%22&forms=10-K&ciks=0000104918,"See “Enterprise Risk Management – Credit Risk Liquidity Considerations” and “Note 8 of the Notes to Consolidated Financial Statements.” The following table summarizes our credit ratings as of February 24, 2026: Standard & Poor's (1) Moody's (2) Corporate/Issuer rating BBB Baa2 Senior Secured Debt A- A3 Senior Unsecured Debt BBB Baa2 (1) Standard & Poor’s lowest “investment grade” credit rating is "
BAX,10456,S&P,BBB-,SAFE,SAFE,3.862,11599893740,high,0001628280-26-007733,2026-02-12,5f55268d5607d8f1bb32e9aef45c945d3eed01fa81b94c6cf1fd284ce35d4a98,https://www.sec.gov/Archives/edgar/data/10456/000162828026007733/bax-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BBB-%22&forms=10-K&ciks=0000010456,"Our credit ratings at December 31, 2025 were as follows: Standard & Poor’s Moody’s Ratings Senior debt BBB- Baa3 Short-term debt A3 P3 Outlook Stable Stable During the fourth quarter of 2025, Standard & Poor's revised our senior debt credit rating from BBB to BBB-, our short-term debt credit rating from A2 to A3 and our outlook from Negative to Stable."
BBWI,701985,S&P,BB+,WATCH,DISTRESS,0.912,4017126913,high,0000701985-26-000008,2026-03-12,5526255fb4b1f723248ed2f42babf0c5ac349cec78c6c55d9d363d87f9cad59a,https://www.sec.gov/Archives/edgar/data/701985/000070198526000008/bbwi-20260131.htm,https://efts.sec.gov/LATEST/search-index?q=%22BB+%22&forms=10-K&ciks=0000701985,"Credit Ratings The following table provides our credit ratings as of January 31, 2026: Moody’s S&P Corporate Ba2 BB+ Senior Unsecured Debt with Subsidiary Guarantee Ba2 BB+ Senior Unsecured Debt B1 BB- Outlook Stable Stable Guarantor Summarized Financial Information Certain of our subsidiaries, which are listed on Exhibit 22 to this Annual Report on Form 10-K, have guaranteed our obligations under"
BKH,1130464,S&P,BBB+,SAFE,WATCH,1.459,5578668487,high,0001193125-26-046028,2026-02-11,1d88eb9c06b5f74d8454ba9edcd6147613cf3bdcf35ee5a054c4280971d9b8ed,https://www.sec.gov/Archives/edgar/data/1130464/000119312526046028/bkh-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BBB+%22&forms=10-K&ciks=0001130464,Our senior unsecured debt rating is Baa2 (Stable outlook) by Moody’s and BBB+ (Stable outlook) by S&P.
CLMT,2013745,Moody's,CCC+,DISTRESS,DISTRESS,-1.836,3398738733,high,0002013745-26-000007,2026-02-27,eca4585d7b1a6e90534a4d5820aebc6256a9483c7ac2d9b4f94af0ef38179a3e,https://www.sec.gov/Archives/edgar/data/2013745/000201374526000007/clmt-20251231x10k.htm,https://efts.sec.gov/LATEST/search-index?q=%22CCC+%22&forms=10-K&ciks=0002013745,"Credit Ratings In January 2026, Moody’s Ratings (“Moody’s”) affirmed the Company’s Caa1 Corporate Family Rating (“CFR”)."
CTBB,68622,S&P,BB,WATCH,SAFE,3.684,3962145148,high,0000068622-26-000005,2026-02-20,6956705e9fd430301853e0977cf9e8deb0618e5c6a6c4f6ea10f140c8c2ce7f6,https://www.sec.gov/Archives/edgar/data/68622/000006862226000005/lumn-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BB%22&forms=10-K&ciks=0000068622,"Caa1 Standard & Poor's B Fitch Ratings (1) BB _______________________________________________________________________________ (1) In February 2026, Moody's and Fitch upgraded our issuer default rating."
CXT,25445,S&P,BB+,WATCH,WATCH,2.229,2874241232,high,0000025445-26-000009,2026-02-26,aef089fbb7a46306a56cae1c3339aeb9dabd34d90feeae0a805a041544e11b15,https://www.sec.gov/Archives/edgar/data/25445/000002544526000009/cxt-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BB+%22&forms=10-K&ciks=0000025445,Our senior secured debt was rated BB+ by S&P Global Ratings with a Stable outlook and Baa3 with a Stable Outlook by Moody’s Investor Service.
FL,850209,S&P,BB,WATCH,SAFE,2.887,2294782065,high,0001437749-25-009620,2025-03-27,aee0a9d0d89761c4f2b6c0c597af3182b6a9bb0004ff2ca464bb3b5f1af549e4,https://www.sec.gov/Archives/edgar/data/850209/000143774925009620/floc20241213_10k.htm,https://efts.sec.gov/LATEST/search-index?q=%22BB%22&forms=10-K&ciks=0000850209,"Credit Rating As of March 27, 2025, our corporate credit ratings from Standard & Poor's and Moody's Investors Service are BB and Ba3, respectively."
FND,1507079,S&P,BB,WATCH,SAFE,2.701,6007864520,high,0001628280-26-009770,2026-02-19,bc1c34bc9db3e4a08a12e85b58d0dc51ef92d8a08a5d72cdfb13ec04351e3699,https://www.sec.gov/Archives/edgar/data/1507079/000162828026009770/fnd-20251225.htm,https://efts.sec.gov/LATEST/search-index?q=%22BB%22&forms=10-K&ciks=0001507079,"As of December 25, 2025, our Standard & Poor’s issuer credit rating of BB with a stable outlook and Moody’s issuer credit rating of Ba3 with a stable outlook remain unchanged from December 26, 2024."
GAP,39911,S&P,BB+,WATCH,SAFE,3.263,6785602887,high,0001628280-26-018573,2026-03-17,d37714fc3d151a3ac47758a7cd71cc1ceb389e5bafa69a77ab65345a189a6246,https://www.sec.gov/Archives/edgar/data/39911/000162828026018573/gap-20260131.htm,https://efts.sec.gov/LATEST/search-index?q=%22BB+%22&forms=10-K&ciks=0000039911,"We currently have corporate credit ratings of BB+ with a stable outlook from Standard & Poor's (""S&P"") and Ba2 with a positive outlook from Moody’s."
GATX,40211,S&P,BBB,SAFE,n/a,,6211207512,high,0000040211-26-000018,2026-02-19,da50e27c0971d17a080dabd0cc2288b0d923f13a9a7080639150f750734f48db,https://www.sec.gov/Archives/edgar/data/40211/000004021126000018/gmt-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BBB%22&forms=10-K&ciks=0000040211,"The following table shows our credit rating and rating outlook as of December 31, 2025: Rating Agency Standard & Poor's Moody's Investor Service Fitch Ratings, Inc Long-term unsecured debt BBB Baa2 BBB+ Short-term unsecured debt A-2 P-2 F2 Rating outlook Stable Positive Stable 48 Leverage Leverage is expressed as a ratio of debt (including debt and lease obligations, net of unrestricted cash) to t"
GHC,104889,S&P,BB,WATCH,SAFE,5.649,5018307992,high,0001628280-26-011405,2026-02-25,16885ae675a6480fb3eab6bc8fe088871e06cfd7743e2c6436f7b1786e916f74,https://www.sec.gov/Archives/edgar/data/104889/000162828026011405/ghc-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BB%22&forms=10-K&ciks=0000104889,"The Company’s current credit ratings are as follows: Moody’s Standard & Poor’s Long-term Ba1 BB Outlook Stable Stable The Company expects to fund its estimated capital needs primarily through existing cash balances and internally generated funds, and, as needed, from borrowings under its revolving credit facility."
GTES,1718512,S&P,BB,WATCH,SAFE,3.803,6611618126,high,0001628280-26-007719,2026-02-12,00f3cc3840ddfad3f14dede74e8fa1fdfd1cd6b2204891097915221a701424ac,https://www.sec.gov/Archives/edgar/data/1718512/000162828026007719/gtes-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22BB%22&forms=10-K&ciks=0001718512,We have established long-term credit ratings of Ba3 Stable with Moody’s and BB Stable with Standard & Poor’s.
HE,354707,S&P,B-,WATCH,DISTRESS,0.5,2309864649,high,0000354707-26-000008,2026-02-27,48e4fe7b0c38cbdc9a9b8249ccabf35962ee76d7fbebad6dafe64e69ba8e5a66,https://www.sec.gov/Archives/edgar/data/354707/000035470726000008/he-20251231.htm,https://efts.sec.gov/LATEST/search-index?q=%22B-%22&forms=10-K&ciks=0000354707,"In March 2025, S&P revised HEI’s outlook to “Positive” from “Negative” and affirmed the “B-” issuer credit rating."
