ts,spec_id,item_id,seed,provider,version,model,ok,empty,attempts,cost_usd,error
2026-07-07T22:56:51.116107+00:00,S01,C001,11,google,prior,gemini-2.5-flash,True,False,1,0.00033,
2026-07-07T22:56:51.153371+00:00,S01,C001,22,google,prior,gemini-2.5-flash,True,False,1,0.000275,
2026-07-07T22:56:51.318619+00:00,S01,C001,33,google,prior,gemini-2.5-flash,True,False,1,0.000285,
2026-07-07T22:56:51.866992+00:00,S01,C002,11,google,prior,gemini-2.5-flash,True,False,1,0.000459,
2026-07-07T22:56:52.260459+00:00,S01,C003,11,google,prior,gemini-2.5-flash,True,False,1,0.000368,
2026-07-07T22:56:52.293450+00:00,S01,C002,33,google,prior,gemini-2.5-flash,True,False,1,0.000499,
2026-07-07T22:56:52.315389+00:00,S01,C002,22,google,prior,gemini-2.5-flash,True,False,1,0.000519,
2026-07-07T22:56:52.339106+00:00,S01,C003,22,google,prior,gemini-2.5-flash,True,False,1,0.000325,
2026-07-07T22:56:52.811989+00:00,S01,C004,11,google,prior,gemini-2.5-flash,True,False,1,0.000307,
2026-07-07T22:56:52.969945+00:00,S01,C003,33,google,prior,gemini-2.5-flash,True,False,1,0.000533,
2026-07-07T22:56:53.263579+00:00,S01,C004,33,google,prior,gemini-2.5-flash,True,False,1,0.00039,
2026-07-07T22:56:53.321647+00:00,S01,C004,22,google,prior,gemini-2.5-flash,True,False,1,0.000477,
2026-07-07T22:56:53.526914+00:00,S01,C005,11,google,prior,gemini-2.5-flash,True,False,1,0.000418,
2026-07-07T22:56:53.586213+00:00,S01,C005,22,google,prior,gemini-2.5-flash,True,False,1,0.000308,
2026-07-07T22:56:54.116732+00:00,S01,C005,33,google,prior,gemini-2.5-flash,True,False,1,0.000493,
2026-07-07T22:56:54.116886+00:00,S01,C006,11,google,prior,gemini-2.5-flash,True,False,1,0.000369,
2026-07-07T22:56:54.334133+00:00,S01,C006,22,google,prior,gemini-2.5-flash,True,False,1,0.000339,
2026-07-07T22:56:54.356844+00:00,S01,C006,33,google,prior,gemini-2.5-flash,True,False,1,0.000287,
2026-07-07T22:56:54.868858+00:00,S01,C007,22,google,prior,gemini-2.5-flash,True,False,1,0.000346,
2026-07-07T22:56:54.948778+00:00,S01,C007,33,google,prior,gemini-2.5-flash,True,False,1,0.000291,
2026-07-07T22:56:54.967044+00:00,S01,C007,11,google,prior,gemini-2.5-flash,True,False,1,0.000461,
2026-07-07T22:56:55.148051+00:00,S01,C008,11,google,prior,gemini-2.5-flash,True,False,1,0.000302,
2026-07-07T22:56:55.200140+00:00,S01,C008,22,google,prior,gemini-2.5-flash,True,False,1,0.000234,
2026-07-07T22:56:55.328140+00:00,S01,C008,33,google,prior,gemini-2.5-flash,True,False,1,0.000242,
2026-07-07T22:56:56.229225+00:00,S01,C009,11,google,prior,gemini-2.5-flash,True,False,1,0.000517,
2026-07-07T22:56:56.299287+00:00,S01,C010,11,google,prior,gemini-2.5-flash,True,False,1,0.000302,
2026-07-07T22:56:56.394612+00:00,S01,C009,22,google,prior,gemini-2.5-flash,True,False,1,0.000484,
2026-07-07T22:56:56.567019+00:00,S01,C010,22,google,prior,gemini-2.5-flash,True,False,1,0.000317,
2026-07-07T22:56:56.574867+00:00,S01,C009,33,google,prior,gemini-2.5-flash,True,False,1,0.000469,
2026-07-07T22:56:56.896816+00:00,S01,C010,33,google,prior,gemini-2.5-flash,True,False,1,0.000379,
2026-07-07T22:56:57.147666+00:00,S01,C011,11,google,prior,gemini-2.5-flash,True,False,1,0.000393,
2026-07-07T22:56:57.258559+00:00,S01,C011,33,google,prior,gemini-2.5-flash,True,False,1,0.000333,
2026-07-07T22:56:57.345802+00:00,S01,C011,22,google,prior,gemini-2.5-flash,True,False,1,0.000373,
2026-07-07T22:56:57.551505+00:00,S01,C012,11,google,prior,gemini-2.5-flash,True,False,1,0.000317,
